game,time,blue,red
1,15:00:00,0,0
1,14:32:00,1,0
1,14:31:00,2,0
1,14:29:00,3,0
1,14:28:00,4,1
1,14:23:00,4,2
1,14:13:00,5,2
1,14:12:00,5,3
1,14:09:00,6,3
1,14:08:00,7,3
1,14:00:00,7,4
1,13:59:00,8,5
1,13:57:00,9,5
1,13:53:00,9,6
1,13:46:00,10,7
1,13:44:00,11,7
1,13:42:00,12,7
1,13:40:00,12,8
1,13:38:00,13,8
1,13:34:00,14,8
1,13:29:00,15,9
1,13:18:00,16,10
1,13:16:00,17,11
1,13:15:00,17,12
1,13:14:00,18,13
1,13:12:00,18,14
1,12:57:00,19,15
1,12:55:00,19,16
1,12:52:00,20,16
1,12:40:00,21,16
1,12:35:00,21,17
1,12:34:00,22,17
1,12:33:00,22,18
1,12:31:00,23,18
1,12:26:00,23,19
1,12:21:00,24,19
1,12:20:00,25,19
1,12:16:00,26,19
1,12:13:00,27,19
1,12:09:00,27,20
1,12:08:00,27,21
1,12:07:00,27,22
1,12:06:00,28,22
1,12:04:00,29,23
1,12:00:00,30,23
1,11:58:00,31,23
1,11:54:00,32,24
1,11:40:00,33,24
1,11:39:00,33,25
1,11:34:00,33,26
1,11:32:00,33,27
1,11:29:00,34,27
1,11:27:00,34,28
1,11:20:00,34,29
1,11:16:00,35,29
1,11:10:00,36,29
1,11:09:00,37,29
1,11:08:00,38,29
1,11:01:00,39,29
1,11:00:00,40,29
1,10:58:00,41,30
1,10:57:00,41,31
1,10:56:00,42,31
1,10:50:00,42,32
1,10:49:00,42,33
1,10:48:00,43,33
1,10:45:00,43,34
1,10:42:00,44,34
1,10:35:00,45,34
1,10:27:00,46,34
1,10:25:00,47,34
1,10:23:00,48,34
1,10:22:00,49,34
1,10:21:00,50,34
1,10:18:00,51,34
1,10:06:00,52,34
1,10:01:00,53,34
1,10:00:00,54,34
1,09:59:00,55,34
1,09:57:00,56,35
1,09:56:00,56,36
1,09:53:00,56,37
1,09:51:00,57,37
1,09:47:00,58,38
1,09:45:00,59,38
1,09:44:00,60,38
1,09:42:00,60,39
1,09:37:00,60,40
1,09:35:00,61,41
1,09:31:00,61,42
1,09:30:00,62,42
1,09:28:00,63,42
1,09:23:00,63,43
1,09:21:00,63,44
1,09:20:00,64,45
1,09:18:00,65,45
1,09:16:00,66,45
1,09:13:00,67,45
1,09:10:00,68,46
1,09:09:00,68,47
1,09:01:00,69,47
1,09:00:00,70,47
1,08:50:00,70,48
1,08:47:00,70,49
1,08:43:00,71,49
1,08:42:00,72,49
1,08:41:00,72,50
1,08:38:00,72,51
1,08:36:00,73,51
1,08:29:00,74,51
1,08:27:00,74,52
1,08:25:00,75,52
1,08:24:00,76,52
1,08:20:00,77,52
1,08:18:00,77,53
1,08:12:00,78,53
1,08:11:00,78,54
1,08:10:00,78,55
1,08:09:00,79,55
1,08:07:00,80,55
1,07:59:00,81,55
1,07:55:00,81,56
1,07:54:00,81,57
1,07:49:00,82,57
1,07:45:00,83,57
1,07:43:00,84,58
1,07:41:00,85,58
1,07:38:00,85,59
1,07:32:00,85,60
1,07:29:00,86,60
1,07:24:00,87,60
1,07:23:00,88,60
1,07:17:00,89,60
1,07:12:00,90,60
1,07:07:00,91,60
1,07:02:00,91,61
1,06:59:00,92,61
1,06:51:00,93,61
1,06:44:00,93,62
1,06:42:00,94,63
1,06:41:00,95,63
1,06:39:00,96,63
1,06:34:00,96,64
1,06:33:00,96,65
1,06:29:00,97,65
1,06:22:00,97,66
1,06:20:00,97,67
1,06:18:00,97,68
1,06:09:00,98,68
1,06:07:00,99,69
1,06:06:00,100,69
